"","ObjectID","full_addr","County"
"2291120",2291120,"E8697 POPEYES LN, READFIELD WI 54969","Waupaca County"
"2291164",2291164,"N2665 COUNTY ROAD QQ UNIT OH546, KING WI 54946","Waupaca County"
"2291184",2291184,"E9161 SCHOOL RD, READFIELD WI 54969","Waupaca County"
"2291228",2291228,"N1293 COUNTY ROAD W, READFIELD WI 54969","Waupaca County"
"2291234",2291234,"N876 COUNTY ROAD W, READFIELD WI 54969","Waupaca County"
"2291235",2291235,"N932 COUNTY ROAD W, READFIELD WI 54969","Waupaca County"
"2291525",2291525,"N2665 COUNTY ROAD QQ UNIT AH416, KING WI 54946-0600","Waupaca County"
"2291655",2291655,"N2665 COUNTY ROAD QQ AH227, KING WI 54946-0600","Waupaca County"
"2291656",2291656,"N2665 COUNTY ROAD QQ UNIT SH476B, KING WI 54946","Waupaca County"
"2291817",2291817,"N2665 COUNTY ROAD QQ WVH-OVE, KING WI 54946","Waupaca County"
"2292087",2292087,"N2665 COUNTY ROAD QQ UNIT AH321, KING WI 54946-0600","Waupaca County"
"2292310",2292310,"N2665 COUNTY ROAD QQ UNIT MH385, KING WI 54946-0600","Waupaca County"
"2292315",2292315,"N2665 COUNTY ROAD QQ UNIT AH343, KING WI 54946-0600","Waupaca County"
"2292367",2292367,"N2665 COUNTY ROAD QQ BLDG AH330, KING WI 54946-0600","Waupaca County"
"2292373",2292373,"N2665 COUNTY ROAD QQ SH485, KING WI 54946-0600","Waupaca County"
"2292382",2292382,"N2665 COUNTY ROAD QQ UNIT AH430, KING WI 54946-0600","Waupaca County"
"2292386",2292386,"N2665 COUNTY ROAD QQ UNIT MH268, KING WI 54946-0600","Waupaca County"
"2292387",2292387,"N2665 COUNTY ROAD QQ UNIT AH417, KING WI 54946-0600","Waupaca County"
"2292399",2292399,"N2665 COUNTY ROAD QQ AH307, KING WI 54946-0600","Waupaca County"
"2292408",2292408,"N2665 COUNTY ROAD QQ UNIT AH419, KING WI 54946-0600","Waupaca County"
"2292422",2292422,"N2665 COUNTY ROAD QQ UNIT SH572, KING WI 54946-0600","Waupaca County"
"2292426",2292426,"N2665 COUNTY ROAD QQ UNIT AH457, KING WI 54946-0600","Waupaca County"
"2292434",2292434,"N2665 COUNTY ROAD QQ UNIT SH325, KING WI 54946-0600","Waupaca County"
"2292440",2292440,"N2665 COUNTY ROAD QQ LOT 218, KING WI 54946-0600","Waupaca County"
"2292441",2292441,"N2665 COUNTY ROAD QQ AH459A, KING WI 54946-0600","Waupaca County"
"2292445",2292445,"N2665 COUNTY ROAD QQ BLDG AH, KING WI 54946-0600","Waupaca County"
"2292446",2292446,"N2665 COUNTY ROAD QQ UNIT AH356, KING WI 54946-0600","Waupaca County"
"2292453",2292453,"N2665 COUNTY ROAD QQ UNIT OH542, KING WI 54946","Waupaca County"
"2292458",2292458,"N2665 COUNTY ROAD QQ OH423, KING WI 54946-0600","Waupaca County"
"2292470",2292470,"N2665 COUNTY ROAD QQ UNIT MC211A, KING WI 54946-600","Waupaca County"
"2292472",2292472,"N2665 COUNTY ROAD QQ UNIT AH425, KING WI 54946-0600","Waupaca County"
"2292478",2292478,"N2665 COUNTY ROAD QQ UNIT AH424, KING WI 54946-0600","Waupaca County"
"2292480",2292480,"N2665 COUNTY ROAD QQ OH268, KING WI 54946-0600","Waupaca County"
"2292485",2292485,"N2665 COUNTY ROAD QQ AH233A, KING WI 54946-0600","Waupaca County"
"2292488",2292488,"N2665 COUNTY ROAD QQ UNIT AH325, KING WI 54946-0600","Waupaca County"
"2292495",2292495,"N2665 COUNTY ROAD QQ UNIT SH523, KING WI 54946-0600","Waupaca County"
"2292502",2292502,"N2665 COUNTY ROAD QQ SH282, KING WI 54946-0600","Waupaca County"
"2292507",2292507,"N2665 COUNTY ROAD QQ UNIT OH425, KING WI 54946-0600","Waupaca County"
"2292521",2292521,"N2665 COUNTY ROAD QQ UNIT SH468, KING WI 54946-0600","Waupaca County"
"2292532",2292532,"N2665 COUNTY ROAD QQ UNIT AH340, KING WI 54946-0600","Waupaca County"
"2292538",2292538,"N2665 COUNTY ROAD QQ AH234, KING WI 54946-0600","Waupaca County"
"2292542",2292542,"N2665 COUNTY ROAD QQ AH253, KING WI 54946-0600","Waupaca County"
"2292545",2292545,"N2665 COUNTY ROAD QQ UNIT AH327, KING WI 54946-0600","Waupaca County"
"2292562",2292562,"N2665 COUNTY ROAD QQ UNIT SH, KING WI 54946-0600","Waupaca County"
"2292564",2292564,"N2665 COUNTY ROAD QQ UNIT SH432, KING WI 54946-0600","Waupaca County"
"2292577",2292577,"N2665 COUNTY ROAD QQ UNIT SH202, KING WI 54946-0600","Waupaca County"
"2292587",2292587,"N2665 COUNTY ROAD QQ UNIT SH44, KING WI 54946-0600","Waupaca County"
"2292633",2292633,"N2665 COUNTY ROAD QQ UNIT MH322, KING WI 54946-0600","Waupaca County"
"2292693",2292693,"N2665 COUNTY ROAD QQ AH405, KING WI 54946-0600","Waupaca County"
"2292699",2292699,"N2665 COUNTY ROAD QQ 122A, KING WI 54946-0600","Waupaca County"
"2292700",2292700,"N2665 COUNTY ROAD QQ UNIT MH237, KING WI 54946-0600","Waupaca County"
"2292702",2292702,"N2665 COUNTY ROAD QQ UNIT AH423, KING WI 54946-0600","Waupaca County"
"2292703",2292703,"N2665 COUNTY ROAD QQ 276A, KING WI 54946-0600","Waupaca County"
"2292706",2292706,"N2665 COUNTY ROAD QQ 276B, KING WI 54946-0600","Waupaca County"
"2293149",2293149,"N2665 COUNTY ROAD QQ UNIT AH341, KING WI 54946-0600","Waupaca County"
"2294032",2294032,"N2665 COUNTY ROAD QQ SH362, KING WI 54946-0600","Waupaca County"
"2294397",2294397,"E9062 STATE ROAD 96, READFIELD WI 54969","Waupaca County"
"2294767",2294767,"122 WOODHAVEN LN, EMBARRASS WI 54933","Waupaca County"
"2294802",2294802,"145 ELM ST, EMBARRASS WI 99999","Waupaca County"
"2294811",2294811,"135 N ELM ST, EMBARRASS WI 54933","Waupaca County"
"2294821",2294821,"N2665 COUNTY ROAD QQ OH519B, KING WI 54946-0600","Waupaca County"
"2294824",2294824,"136 OAK ST, BIG FALLS WI 54926","Waupaca County"
"2294839",2294839,"454 S MAIN ST, BIG FALLS WI 54926","Waupaca County"
"2294858",2294858,"115 W HARRISON ST, BIG FALLS WI 54926","Waupaca County"
"2294859",2294859,"240 W HARRISON ST, BIG FALLS WI 54926","Waupaca County"
"2294860",2294860,"122 MILL ST, EMBARRASS WI 54933","Waupaca County"
"2294871",2294871,"143 E HARRISON ST, BIG FALLS WI 54926","Waupaca County"
"2294872",2294872,"219 S MAIN ST, BIG FALLS WI 54926","Waupaca County"
"2294877",2294877,"406 S MAIN ST, BIG FALLS WI 54926","Waupaca County"
"2294879",2294879,"204 GRANITE ST, BIG FALLS WI 54926","Waupaca County"
"2294884",2294884,"438 S MAIN ST, BIG FALLS WI 54926","Waupaca County"
"2294897",2294897,"305 S MAIN ST, BIG FALLS WI 54926","Waupaca County"
"2294904",2294904,"116 CHESTER ST, BIG FALLS WI 54926","Waupaca County"
"2294939",2294939,"323 ELM ST, EMBARRASS WI 54933","Waupaca County"
"2294954",2294954,"122 S MILL ST, EMBARRASS WI 54933","Waupaca County"
"2294996",2294996,"218 BELLEVUE ST, EMBARRASS WI 54933","Waupaca County"
"2295039",2295039,"351 MAVIS RD B, MARION WI 54444","Waupaca County"
"2295514",2295514,"N2665 COUNTY ROAD QQ UNIT AH432A, KING WI 54946","Waupaca County"
"2296249",2296249,"2560 MILL RUN RD, WAUKAU WI 54980","Winnebago County"
"2297297",2297297,"2681 QUINCY ST, WAUKAU WI 54980","Winnebago County"
"2297302",2297302,"2733 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"2297387",2297387,"2606 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"2297399",2297399,"3175 COUNTY ROAD E, EUREKA WI 54934-9712","Winnebago County"
"2297428",2297428,"2607 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"2297433",2297433,"8841 WISCONSIN ST, EUREKA WI 54934-9709","Winnebago County"
"2297435",2297435,"8793 COUNTY ROAD K, EUREKA WI 54934-9705","Winnebago County"
"2297445",2297445,"3008 FLORENCE ST, EUREKA WI 54934","Winnebago County"
"2297463",2297463,"3074 COUNTY ROAD E, EUREKA WI 54934-9711","Winnebago County"
"2297600",2297600,"7385 MECHANIC ST, WAUKAU WI 54980","Winnebago County"
"2297602",2297602,"3106 COUNTY RD E, EUREKA WI 54934-9712","Winnebago County"
"2297604",2297604,"3160 COUNTY ROAD E, EUREKA WI 54934","Winnebago County"
"2297609",2297609,"W5933 MAIN ST, PACKWAUKEE WI 53953","Marquette County"
"2297645",2297645,"2583 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"2297676",2297676,"2986 SOUTH ST, EUREKA WI 54934-9715","Winnebago County"
"2297684",2297684,"7497 MECHANIC ST, WAUKAU WI 54980","Winnebago County"
"2297688",2297688,"7478 MONROE ST, WAUKAU WI 99999","Winnebago County"
"2297724",2297724,"8757 COUNTY ROAD K, EUREKA WI 54934-9705","Winnebago County"
"2297734",2297734,"2943 COUNTY ROAD E, EUREKA WI 54934","Winnebago County"
"2297766",2297766,"3094 SPRING ST, EUREKA WI 54934","Winnebago County"
"2297782",2297782,"8815 COUNTY ROAD K, EUREKA WI 54934-9708","Winnebago County"
"2297799",2297799,"8868 WISCONSIN ST, EUREKA WI 54934-9709","Winnebago County"
"2297817",2297817,"2599 SOUTH ST, WAUKAU WI 54980","Winnebago County"
"2297941",2297941,"7382 MECHANIC ST, WAUKAU WI 54980","Winnebago County"
"2297962",2297962,"2699 QUINCY ST, WAUKAU WI 54980","Winnebago County"
"2297986",2297986,"3006 COUNTY ROAD E, EUREKA WI 54934-9711","Winnebago County"
"2298014",2298014,"2519 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"2298033",2298033,"2716 STATE ROAD 116, WAUKAU WI 54980","Winnebago County"
"2298308",2298308,"951 SPRING CT, NEWBURG WI 53060","Washington County"
"2298322",2298322,"N2665 COUNTY ROAD QQ MH316, KING WI 54946-0600","Waupaca County"
"2298975",2298975,"5820 CRESTVIEW DR, BUTTE DES MORTS WI 54927-9303","Winnebago County"
"2298988",2298988,"W9760 HIGH ST APT 6, DALE WI 54931","Outagamie County"
"2299090",2299090,"5832 CRESTVIEW DR, BUTTE DES MORTS WI 54927-9303","Winnebago County"
"2299406",2299406,"2680 STATE ROAD 116 APT 2B, WAUKAU WI 54980-9800","Winnebago County"
"2299702",2299702,"8805 COUNTY ROAD K, EUREKA WI 54934-9708","Winnebago County"
"2299853",2299853,"3410 HIGHWAY 33, NEWBURG WI 53060","Ozaukee County"
"2301510",2301510,"1491 COUNTY ROAD I, GRAFTON WI 52024","Ozaukee County"
"2302093",2302093,"555 VETERANS AVE UNIT 101, WEST BEND WI 54444","Washington County"
"2304933",2304933,"W283N7133 HEWLETT ST, MERTON WI 53056","Waukesha County"
"2304942",2304942,"W282N6850 MAIN ST, MERTON WI 53056","Waukesha County"
"2304960",2304960,"N70W28306 HUNTINGTON ST, MERTON WI 53056","Waukesha County"
"2304969",2304969,"W283N7297 MAIN ST, MERTON WI 53056","Waukesha County"
"2304976",2304976,"W283N7100 HEWLETT ST, MERTON WI 53056","Waukesha County"
"2304982",2304982,"N71W28336 MILL ST, MERTON WI 53056","Waukesha County"
"2305002",2305002,"W283N7255 MAIN ST, MERTON WI 53056","Waukesha County"
"2305005",2305005,"W282N7440 MAIN ST, MERTON WI 53056","Waukesha County"
"2305097",2305097,"W282N7302 MAIN ST, MERTON WI 53056","Waukesha County"
"2305188",2305188,"W282N7167 MAIN ST, MERTON WI 53056-4500","Waukesha County"
"2305477",2305477,"3510 E TESCH AVE 8, SAINT FRANCIS WI 54444","Milwaukee County"
"2306006",2306006,"445 W MAIN ST APT 2, DICKEYVILLE WI 53808-6874","Grant County"
"2306781",2306781,"235 RITA AVE, DICKEYVILLE WI 53808-6858","Grant County"
"2307252",2307252,"135 GRAND CANYON DR 217, LAKE DELTON WI 53940","Sauk County"
"2307695",2307695,"237 ROSALYN ST APT 2, DICKEYVILLE WI 53808-6872","Grant County"
"2309773",2309773,"N2665 COUNTY ROAD QQ UNIT OH212, KING WI 54946-0600","Waupaca County"
"2310050",2310050,"265 N CENTER ST, DICKEYVILLE WI 53808-6811","Grant County"
"2310138",2310138,"28864 COUNTY HWY B, SEXTONVILLE WI 53584","Richland County"
"2313349",2313349,"336 E F J TOWNLINE RD, MILTON WI 54444-____","Rock County"
"2313400",2313400,"320 E CENTRE ST A, FOOTVILLE WI 53537","Rock County"
"2314455",2314455,"204 LINCOLN AVE 0, BARABOO WI 54444","Sauk County"
"2314907",2314907,"N2665 COUNTY ROAD QQ UNIT SH416A, KING WI 54946","Waupaca County"
"2315339",2315339,"501 RED SPRUCE AVE 0, BARABOO WI 54444","Sauk County"
"2316436",2316436,"212 XANADU RD UNIT 705, LAKE DELTON WI 53940","Sauk County"
"2316923",2316923,"115 E MAPLE AVE, LIME RIDGE WI 53942","Sauk County"
"2317564",2317564,"108 MADISON ST APT 2, UNION CENTER WI 53962","Juneau County"
"2318337",2318337,"71 FOREST DR APT 1103, LAKE DELTON WI 53940","Sauk County"
"2318353",2318353,"1197 BUNKER DR APT 106B, LAKE DELTON WI 53940","Sauk County"
"2318415",2318415,"36 FOREST DR APT 611, LAKE DELTON WI 53940","Sauk County"
"2318654",2318654,"9165 STATE RD 81, BEETOWN WI 53802","Grant County"
"2318675",2318675,"9797 MUSCALLOUNGE RD, BEETOWN WI 53802","Grant County"
"2318683",2318683,"8791 STATE ROAD 81, BEETOWN WI 53802","Grant County"
"2318693",2318693,"9314 STATE RD 81, BEETOWN WI 53802","Grant County"
"2319386",2319386,"3728 CORONADO ST, KIELER WI 53812","Grant County"
"2319388",2319388,"3648 HICKORY CT, KIELER WI 53812","Grant County"
"2319389",2319389,"2244 ELM ST, KIELER WI 53812","Grant County"
"2319393",2319393,"3507 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"2319397",2319397,"3639 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"2319399",2319399,"3681 SPRUCE ST, KIELER WI 53812","Grant County"
"2319401",2319401,"2234 ELM ST, KIELER WI 53812","Grant County"
"2319403",2319403,"3677 SPRUCE ST, KIELER WI 53812","Grant County"
"2319411",2319411,"3631 IRENUS CT, KIELER WI 53812","Grant County"
"2319419",2319419,"2079 OAK LN, KIELER WI 53812","Grant County"
"2319422",2319422,"3572 CEDAR CT, KIELER WI 53812","Grant County"
"2319423",2319423,"3762 WIEDERHOLT DR, KIELER WI 53812","Grant County"
"2319424",2319424,"2240 ELM ST, KIELER WI 53812","Grant County"
"2319430",2319430,"3714 DELAVAL ST, KIELER WI 53812","Grant County"
"2319434",2319434,"3739 DELAVAL ST, KIELER WI 53812","Grant County"
"2319436",2319436,"3739 DELAVEL ST, KIELER WI 53812","Grant County"
"2319437",2319437,"3737 SPRUCE ST, KIELER WI 53812","Grant County"
"2319438",2319438,"2225 ELM ST, KIELER WI 53812","Grant County"
"2319443",2319443,"90 S 3RD ST, DICKEYVILLE WI 53808-6806","Grant County"
"2319454",2319454,"3734 DELAVAL ST, KIELER WI 53812","Grant County"
"2319462",2319462,"3639 IRENUS CT, KIELER WI 53812","Grant County"
"2319464",2319464,"3671 SPRUCE ST, KIELER WI 53812","Grant County"
"2319466",2319466,"2178 ELM ST, KIELER WI 53812","Grant County"
"2319475",2319475,"3707 DROESSLER CT, KIELER WI 53812","Grant County"
"2319478",2319478,"2235 ELM ST, KIELER WI 53812","Grant County"
"2319479",2319479,"3636 HICKORY ST, KIELER WI 53812","Grant County"
"2319486",2319486,"2095 OAK LN, KIELER WI 53812","Grant County"
"2319488",2319488,"2205 ELM ST, KIELER WI 53812-8001","Grant County"
"2319489",2319489,"3829 DRY HOLLOW RD, KIELER WI 53812","Grant County"
"2319780",2319780,"3942 INDIAN CREEK RD, DICKEYVILLE WI 53808","Grant County"
"2319789",2319789,"2185 Robert L, KIELER WI 53812","Grant County"
"2319791",2319791,"3921 HILL CLIMB RD, DICKEYVILLE WI 53808-6876","Grant County"
"2319793",2319793,"2165 ROBERT L COURT, KIELER WI 53812","Grant County"
"2319795",2319795,"3738 IRENUS CT, KIELER WI 53812","Grant County"
"2319796",2319796,"3219 HICKORY LN, DICKEYVILLE WI 53808","Grant County"
"2319812",2319812,"3564 WALNUT CT, KIELER WI 53812","Grant County"
"2319819",2319819,"3663 HICKORY STREET, KIELER WI 53812","Grant County"
"2319824",2319824,"3672 MAPLE ST, KIELER WI 53812","Grant County"
"2319825",2319825,"4056 STATE ROAD 151, DICKEYVILLE WI 53808","Grant County"
"2319831",2319831,"3601 WALNUT CT, KIELER WI 53812","Grant County"
"2319833",2319833,"3591 WALNUT CT, KIELER WI 53812","Grant County"
"2319837",2319837,"3672 OAK RD, DICKEYVILLE WI 53808","Grant County"
"2319852",2319852,"3747 SPRUCE ST, KIELER WI 53812","Grant County"
"2319856",2319856,"3734 CORONADO ST, KIELER WI 53812","Grant County"
"2319858",2319858,"3611 PINE ST, KIELER WI 53812","Grant County"
"2319950",2319950,"3293 BUSCH LN, DICKEYVILLE WI 53808","Grant County"
"2319997",2319997,"210 3RD ST, DICKEYVILLE WI 53808-6803","Grant County"
"2320249",2320249,"3641 PINE ST, KIELER WI 53812","Grant County"
"2320283",2320283,"250 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2320368",2320368,"154 S MAIN ST, DICKEYVILLE WI 53808-6836","Grant County"
"2320393",2320393,"176 DROESSLER DR, DICKEYVILLE WI 53808-6825","Grant County"
"2320611",2320611,"3747 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"2320826",2320826,"214 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"2320830",2320830,"260 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2320831",2320831,"300 S CHURCH ST APT 21, DICKEYVILLE WI 53808-6821","Grant County"
"2320833",2320833,"1025 NORTHPARK CT, DICKEYVILLE WI 53808-6850","Grant County"
"2320839",2320839,"80 S 3RD ST, DICKEYVILLE WI 53808-6806","Grant County"
"2320840",2320840,"600 W MAIN ST, DICKEYVILLE WI 53808-6845","Grant County"
"2320842",2320842,"227 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2320843",2320843,"410 W MAIN ST, DICKEYVILLE WI 53808-6843","Grant County"
"2320846",2320846,"275 N CENTER ST, DICKEYVILLE WI 53808-6811","Grant County"
"2320848",2320848,"215 N    3RD ST, DICKEYVILLE WI 53808-6805","Grant County"
"2320855",2320855,"210 W MAIN ST, DICKEYVILLE WI 53808-9700","Grant County"
"2320858",2320858,"190 SCOOPS DR, DICKEYVILLE WI 53808-6863","Grant County"
"2320859",2320859,"365 N CHURCH ST, DICKEYVILLE WI 53808-6817","Grant County"
"2320866",2320866,"130 N MAIN ST, DICKEYVILLE WI 53808-6833","Grant County"
"2320867",2320867,"370 N CENTER ST, DICKEYVILLE WI 53808-6812","Grant County"
"2320869",2320869,"318 S MAIN ST, DICKEYVILLE WI 53808-6838","Grant County"
"2320871",2320871,"560 W MAIN ST, DICKEYVILLE WI 53808-6844","Grant County"
"2320875",2320875,"500 APPLE ST APT 2, DICKEYVILLE WI 53808-6875","Grant County"
"2320878",2320878,"257 SAINT ANN AVE, DICKEYVILLE WI 53808-6866","Grant County"
"2320886",2320886,"535 APPLE ST, DICKEYVILLE WI 53808-6809","Grant County"
"2320890",2320890,"311 RITA AVE, DICKEYVILLE WI 53808-6859","Grant County"
"2320892",2320892,"545 APPLE ST, DICKEYVILLE WI 53808-6809","Grant County"
"2320893",2320893,"625 W MAIN ST, DICKEYVILLE WI 53808-6845","Grant County"
"2320894",2320894,"350 N CHURCH ST, DICKEYVILLE WI 53808-6817","Grant County"
"2320898",2320898,"315 N CHURCH ST, DICKEYVILLE WI 53808-6817","Grant County"
"2320905",2320905,"166 DROESSLER DR, DICKEYVILLE WI 53808-6825","Grant County"
"2320913",2320913,"580 APPLE ST, DICKEYVILLE WI 53808-6809","Grant County"
"2320915",2320915,"235 N CHURCH ST, DICKEYVILLE WI 53808-6816","Grant County"
"2320921",2320921,"240 N CHURCH ST 3, DICKEYVILLE WI 53808-6816","Grant County"
"2320922",2320922,"509 W MAIN ST, DICKEYVILLE WI 53808-6844","Grant County"
"2320923",2320923,"430 S CHURCH ST, DICKEYVILLE WI 53808-6822","Grant County"
"2320925",2320925,"455 PLUM ST, DICKEYVILLE WI 53808-6856","Grant County"
"2320926",2320926,"235 W MAIN ST, DICKEYVILLE WI 53808-9700","Grant County"
"2320931",2320931,"243 SAINT ANN AVE, DICKEYVILLE WI 53808-6866","Grant County"
"2320933",2320933,"209 ROSALYN ST APT 2, DICKEYVILLE WI 53808-6861","Grant County"
"2320951",2320951,"400 W MAIN ST, DICKEYVILLE WI 53808-6843","Grant County"
"2321050",2321050,"445 PLUM ST, DICKEYVILLE WI 53808-6856","Grant County"
"2321056",2321056,"520 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"2321060",2321060,"235 NORTH AVE, DICKEYVILLE WI 53808-6849","Grant County"
"2321063",2321063,"202 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"2321070",2321070,"225 NORTH AVE, DICKEYVILLE WI 53808-6849","Grant County"
"2321071",2321071,"3357 MCADAM RD, DICKEYVILLE WI 53808","Grant County"
"2321077",2321077,"225 N 3RD ST, DICKEYVILLE WI 53808-6805","Grant County"
"2321081",2321081,"256 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2321084",2321084,"530 W MAIN ST, DICKEYVILLE WI 53808-6844","Grant County"
"2321091",2321091,"235 N MAIN ST, DICKEYVILLE WI 53808-6834","Grant County"
"2321095",2321095,"220 N MAIN ST, DICKEYVILLE WI 53808-6834","Grant County"
"2321102",2321102,"335 N CENTER ST, DICKEYVILLE WI 53808-6812","Grant County"
"2321104",2321104,"475 APPLE ST, DICKEYVILLE WI 53808-6808","Grant County"
"2321106",2321106,"480 PARK ST, DICKEYVILLE WI 53808-6852","Grant County"
"2321108",2321108,"215 DROESSLER DR, DICKEYVILLE WI 53808-6826","Grant County"
"2321114",2321114,"155 N MAIN ST, DICKEYVILLE WI 53808-6833","Grant County"
"2321118",2321118,"95 S 3RD ST, DICKEYVILLE WI 53808-6806","Grant County"
"2321121",2321121,"320 N CHURCH ST, DICKEYVILLE WI 53808-6817","Grant County"
"2321124",2321124,"315 ROSALYN ST, DICKEYVILLE WI 53808","Grant County"
"2321126",2321126,"225 N MAIN ST, DICKEYVILLE WI 53808-6834","Grant County"
"2321131",2321131,"545 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"2321134",2321134,"264 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"2321140",2321140,"220 3RD ST, DICKEYVILLE WI 53808-6803","Grant County"
"2321142",2321142,"240 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2321149",2321149,"265 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"2321150",2321150,"217 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2321151",2321151,"215 ROSALYN ST APT 4, DICKEYVILLE WI 53808-6878","Grant County"
"2321156",2321156,"230 W MAIN ST, DICKEYVILLE WI 53808-9700","Grant County"
"2321160",2321160,"450 PARK ST, DICKEYVILLE WI 53808-6852","Grant County"
"2321165",2321165,"236 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"2321168",2321168,"144 S MAIN ST, DICKEYVILLE WI 53808-6836","Grant County"
"2321174",2321174,"420 PARK ST, DICKEYVILLE WI 53808-6852","Grant County"
"2321177",2321177,"595 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"2321179",2321179,"204 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"2321187",2321187,"300 S CHURCH ST 5, DICKEYVILLE WI 53808-6821","Grant County"
"2321188",2321188,"300 S CHURCH ST 7, DICKEYVILLE WI 53808-6821","Grant County"
"2321190",2321190,"300 S CHURCH ST APT 6, DICKEYVILLE WI 53808-6821","Grant County"
"2321194",2321194,"515 APPLE ST, DICKEYVILLE WI 53808-6809","Grant County"
"2321195",2321195,"300 S CHURCH ST APT 3, DICKEYVILLE WI 53808-6821","Grant County"
"2321196",2321196,"300 S CHURCH ST APT 8, DICKEYVILLE WI 53808-6821","Grant County"
"2321200",2321200,"130 NORTH AVE, DICKEYVILLE WI 53808-6848","Grant County"
"2321217",2321217,"160 N MAIN ST, DICKEYVILLE WI 53808-6833","Grant County"
"2321352",2321352,"28935 UNIVERSITY ST, GOTHAM WI 53540","Richland County"
"2321406",2321406,"145 W MAIN ST APT B, DICKEYVILLE WI 53808","Grant County"
"2321557",2321557,"2146 KUNKEL RD, KIELER WI 53812","Grant County"
"2321649",2321649,"529 N MAIN ST, PATCH GROVE WI 53817","Grant County"
"2321652",2321652,"400 N MAIN ST, PATCH GROVE WI 53817","Grant County"
"2321656",2321656,"529 MAIN ST, PATCH GROVE WI 53817","Grant County"
"2321839",2321839,"3705 CORONADO ST APT 4, KIELER WI 53812","Grant County"
"2324675",2324675,"3129 S HANCOCK ST, EDMUND WI 53535","Iowa County"
"2324677",2324677,"3136 S MAIN ST, EDMUND WI 53535","Iowa County"
"2324682",2324682,"3138 S MAIN ST, EDMUND WI 53535","Iowa County"
"2324727",2324727,"3155 N MAIN ST, EDMUND WI 53535","Iowa County"
"2324765",2324765,"3169 N MAIN ST, EDMUND WI 53535","Iowa County"
"2324768",2324768,"3168 N MAIN ST, EDMUND WI 53535","Iowa County"
"2324776",2324776,"3140 S MAIN ST, EDMUND WI 53535","Iowa County"
"2326843",2326843,"435 DROESSLER DR, DICKEYVILLE WI 53808-6828","Grant County"
"2327688",2327688,"2264 COUNTY ROAD Y, WOODFORD WI 53599","Lafayette County"
"2327728",2327728,"207 SAINT ANN AVE, DICKEYVILLE WI 53808-6866","Grant County"
"2327805",2327805,"2209 COUNTY ROAD Y, WOODFORD WI 53599-9702","Lafayette County"
"2328356",2328356,"28855 COUNTY ROAD B, SEXTONVILLE WI 53584","Richland County"
"2328364",2328364,"32624 DEMMER LN, GOTHAM WI 53540","Richland County"
"2328383",2328383,"32852 US HIGHWAY 60, GOTHAM WI 53540","Richland County"
"2328439",2328439,"28946 OAK ST, SEXTONVILLE WI 53584","Richland County"
"2328700",2328700,"28882 COUNTY ROAD B, SEXTONVILLE WI 53584","Richland County"
"2328701",2328701,"28877 COUNTY ROAD B, SEXTONVILLE WI 53584","Richland County"
"2328709",2328709,"32944 WISCONSIN ST, GOTHAM WI 53540","Richland County"
"2328710",2328710,"32942 WISCONSIN ST, GOTHAM WI 53540","Richland County"
"2328714",2328714,"28813 COUNTY ROAD B, SEXTONVILLE WI 53584","Richland County"
"2328718",2328718,"28750 COUNTY ROAD B, SEXTONVILLE WI 53584","Richland County"
"2328719",2328719,"28932 ADAMS AVE, SEXTONVILLE WI 53584","Richland County"
"2328732",2328732,"28960 PINE ST, SEXTONVILLE WI 53584","Richland County"
"2328740",2328740,"28827 COUNTY ROAD B, SEXTONVILLE WI 53584","Richland County"
"2328744",2328744,"28993 MCNURLIN ST, GOTHAM WI 53540","Richland County"
"2329033",2329033,"32884 1ST ST N, GOTHAM WI 53540","Richland County"
"2329526",2329526,"391 OAKBROOK DR, LAKE DELTON WI 53940","Sauk County"
"2329937",2329937,"108 W FOOTVILLE HANOVER RD, FOOTVILLE WI 53537","Rock County"
"2330277",2330277,"8765 E COUNTY ROAD N, WHITEWATER WI 99999","Rock County"
"2331154",2331154,"8209 W FRONT ST, HANOVER WI 99999","Rock County"
