,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
VOL FIRE STATIONS,RESERVE,15212,MT TROY VOL FIRE CO BALLROOM- 33 LONSDALE ST, 33 LONSDALE ST," 33 LONSDALE ST, RESERVE"," 33 LONSDALE ST, RESERVE, Pennsylvania, 15212"
VOL FIRE STATIONS,RESERVE,15212,MT TROY VOL FIRE CO BALLROOM- 33 LONSDALE ST, 33 LONSDALE ST," 33 LONSDALE ST, RESERVE"," 33 LONSDALE ST, RESERVE, Pennsylvania, 15212"
VOL FIRE STATIONS,RESERVE,15212,MT TROY VOL FIRE CO BALLROOM- 33 LONSDALE ST, 33 LONSDALE ST," 33 LONSDALE ST, RESERVE"," 33 LONSDALE ST, RESERVE, Pennsylvania, 15212"
MUNICIPAL OWNED BLDG,RICHLAND,15044,RICHLAND TOWNSHIP MUNICIPAL BLDG-4019 DICKEY RD,4019 DICKEY RD,"4019 DICKEY RD, RICHLAND","4019 DICKEY RD, RICHLAND, Pennsylvania, 15044"
CHURCH/TEMPLE,RICHLAND,15044,ST THOMAS CHURCH IN THE-FIELDS- 4106 ST THOMAS DR. ,FIELDS- 4106 ST THOMAS DR. ,"FIELDS- 4106 ST THOMAS DR. , RICHLAND","FIELDS- 4106 ST THOMAS DR. , RICHLAND, Pennsylvania, 15044"
YOUTH FOUNDATION BLDG,RICHLAND,15044,PINE RICHLAND YOUTH CENTER-5554 COMMUNITY CENTER DR,5554 COMMUNITY CENTER DR,"5554 COMMUNITY CENTER DR, RICHLAND","5554 COMMUNITY CENTER DR, RICHLAND, Pennsylvania, 15044"
YOUTH FOUNDATION BLDG,RICHLAND,15044,PINE RICHLAND YOUTH CENTER-5554 COMMUNITY CENTER DR,5554 COMMUNITY CENTER DR,"5554 COMMUNITY CENTER DR, RICHLAND","5554 COMMUNITY CENTER DR, RICHLAND, Pennsylvania, 15044"
MUNICIPAL OWNED BLDG,RICHLAND,15044,NORTHERN TIER REGIONAL LIBRARY-COMMUNITY ROOM-4015 DICKEY RD,COMMUNITY ROOM-4015 DICKEY RD,"COMMUNITY ROOM-4015 DICKEY RD, RICHLAND","COMMUNITY ROOM-4015 DICKEY RD, RICHLAND, Pennsylvania, 15044"
CHURCH/TEMPLE,RICHLAND,15044,TRINITY EVANGELICAL LUTHERAN CHURCH- 3832 GIBSONIA RD., 3832 GIBSONIA RD.," 3832 GIBSONIA RD., RICHLAND"," 3832 GIBSONIA RD., RICHLAND, Pennsylvania, 15044"
CHURCH/TEMPLE,RICHLAND,15044,TRINITY EVANGELICAL LUTHERAN CHURCH- 3832 GIBSONIA RD., 3832 GIBSONIA RD.," 3832 GIBSONIA RD., RICHLAND"," 3832 GIBSONIA RD., RICHLAND, Pennsylvania, 15044"
NURSING HOME,RICHLAND,15044,ST BARNABAS  RETIREMENT VILLAGE C BLDG REAR-5850 MERIDAN RD,5850 MERIDAN RD,"5850 MERIDAN RD, RICHLAND","5850 MERIDAN RD, RICHLAND, Pennsylvania, 15044"
PUBLIC SCHOOLS,ROBINSON,15136,BURKETT ELEMENTARY SCHOOL- 5501 STEUBENVILLE PIKE, 5501 STEUBENVILLE PIKE," 5501 STEUBENVILLE PIKE, ROBINSON"," 5501 STEUBENVILLE PIKE, ROBINSON, Pennsylvania, 15136"
PUBLIC SCHOOLS,ROBINSON,15136,MONTOUR HIGH SCHOOL- 223 CLEVER RD., 223 CLEVER RD.," 223 CLEVER RD., ROBINSON"," 223 CLEVER RD., ROBINSON, Pennsylvania, 15136"
VOL FIRE STATIONS,ROBINSON,15108,GROVETON FIRE HALL- 4596 HAYES AVE., 4596 HAYES AVE.," 4596 HAYES AVE., ROBINSON"," 4596 HAYES AVE., ROBINSON, Pennsylvania, 15108"
PRIVATE SCHOOL,ROBINSON,14136,HOLY TRINITY SCHOOL- 5720 STEUBENVILLE PIKE, 5720 STEUBENVILLE PIKE," 5720 STEUBENVILLE PIKE, ROBINSON"," 5720 STEUBENVILLE PIKE, ROBINSON, Pennsylvania, 14136"
PUBLIC SCHOOLS,ROBINSON,15108,FOREST GROVE SCHOOL- 1 FOREST GROVE RD., 1 FOREST GROVE RD.," 1 FOREST GROVE RD., ROBINSON"," 1 FOREST GROVE RD., ROBINSON, Pennsylvania, 15108"
PRIVATE SCHOOL,ROBINSON,15136,HOLY TRINITY SCHOOL- 5720 STEUBENVILLE PIKE, 5720 STEUBENVILLE PIKE," 5720 STEUBENVILLE PIKE, ROBINSON"," 5720 STEUBENVILLE PIKE, ROBINSON, Pennsylvania, 15136"
PUBLIC SCHOOLS,ROBINSON,15136,MONTOUR HIGH SCHOOL- 223 CLEVER RD., 223 CLEVER RD.," 223 CLEVER RD., ROBINSON"," 223 CLEVER RD., ROBINSON, Pennsylvania, 15136"
PUBLIC SCHOOLS,ROBINSON,15136,BURKETT ELEMENTARY SCHOOL- 5501 STEUBENVILLE PIKE, 5501 STEUBENVILLE PIKE," 5501 STEUBENVILLE PIKE, ROBINSON"," 5501 STEUBENVILLE PIKE, ROBINSON, Pennsylvania, 15136"
PUBLIC SCHOOLS,ROBINSON,15108,FOREST GROVE SCHOOL- 1 FOREST GROVE RD., 1 FOREST GROVE RD.," 1 FOREST GROVE RD., ROBINSON"," 1 FOREST GROVE RD., ROBINSON, Pennsylvania, 15108"
VOL FIRE STATIONS,ROSS,15237,BERKELEY HILLS FIRE DEPT.- 235 SIEBERT RD., 235 SIEBERT RD.," 235 SIEBERT RD., ROSS"," 235 SIEBERT RD., ROSS, Pennsylvania, 15237"
MUNICIPAL OWNED BLDG,ROSS,15209,ROSS MUNICIPAL BLDG- 1000 ROSS MUNICIPAL DR., 1000 ROSS MUNICIPAL DR.," 1000 ROSS MUNICIPAL DR., ROSS"," 1000 ROSS MUNICIPAL DR., ROSS, Pennsylvania, 15209"
MUNICIPAL OWNED BLDG,ROSS,15209,ROSS MUNICIPAL BLDG- 1000 ROSS MUNICIPAL DR., 1000 ROSS MUNICIPAL DR.," 1000 ROSS MUNICIPAL DR., ROSS"," 1000 ROSS MUNICIPAL DR., ROSS, Pennsylvania, 15209"
CHURCH/TEMPLE,ROSS,15237,MCKNIGHT UNITED METHODIST CHURCH- 600 FOX DR. , 600 FOX DR. ," 600 FOX DR. , ROSS"," 600 FOX DR. , ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15237,NORTH HILLS CHURCH OF CHRIST- 797 THOMPSON RUN RD., 797 THOMPSON RUN RD.," 797 THOMPSON RUN RD., ROSS"," 797 THOMPSON RUN RD., ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15237,BERKELEY HILLS LUTHERAN CHURCH- 517 SANGREE RD., 517 SANGREE RD.," 517 SANGREE RD., ROSS"," 517 SANGREE RD., ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15237,BERKELEY HILLS LUTHERAN CHURCH- 517 SANGREE RD., 517 SANGREE RD.," 517 SANGREE RD., ROSS"," 517 SANGREE RD., ROSS, Pennsylvania, 15237"
N. HILLS SCHOOL DIST.,ROSS,15229,NORTH HILLS JUNIOR HIGH SCHOOL- 55 ROCHESTER RD., 55 ROCHESTER RD.," 55 ROCHESTER RD., ROSS"," 55 ROCHESTER RD., ROSS, Pennsylvania, 15229"
N. HILLS SCHOOL DIST.,ROSS,15229,NORTH HILLS JUNIOR HIGH SCHOOL- 55 ROCHESTER RD., 55 ROCHESTER RD.," 55 ROCHESTER RD., ROSS"," 55 ROCHESTER RD., ROSS, Pennsylvania, 15229"
N. HILLS SCHOOL DIST.,ROSS,15229,NORTH HILLS JUNIOR HIGH SCHOOL- 55 ROCHESTER RD., 55 ROCHESTER RD.," 55 ROCHESTER RD., ROSS"," 55 ROCHESTER RD., ROSS, Pennsylvania, 15229"
N. HILLS SCHOOL DIST.,ROSS,15229,NORTH HILLS JUNIOR HIGH SCHOOL- 55 ROCHESTER RD., 55 ROCHESTER RD.," 55 ROCHESTER RD., ROSS"," 55 ROCHESTER RD., ROSS, Pennsylvania, 15229"
N. HILLS SCHOOL DIST.,ROSS,15229,HIGHCLIFF SCHOOL-156 PEONY AVE,156 PEONY AVE,"156 PEONY AVE, ROSS","156 PEONY AVE, ROSS, Pennsylvania, 15229"
N. HILLS SCHOOL DIST.,ROSS,15229,HIGHCLIFF SCHOOL-156 PEONY AVE,156 PEONY AVE,"156 PEONY AVE, ROSS","156 PEONY AVE, ROSS, Pennsylvania, 15229"
CHURCH/TEMPLE,ROSS,15237,ST TERESA SCHOPPOL HALL- 1000 AVILA CT, 1000 AVILA CT," 1000 AVILA CT, ROSS"," 1000 AVILA CT, ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15327,PERRYTOWN PLAZA- 101 HIGHLAND PINES DR, 101 HIGHLAND PINES DR," 101 HIGHLAND PINES DR, ROSS"," 101 HIGHLAND PINES DR, ROSS, Pennsylvania, 15327"
CHURCH/TEMPLE,ROSS,15237,ST TERESA SCHOPPOL HALL- 1000 AVILA CT, 1000 AVILA CT," 1000 AVILA CT, ROSS"," 1000 AVILA CT, ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15237,ST TERESA SCHOPPOL HALL- 1000 AVILA CT, 1000 AVILA CT," 1000 AVILA CT, ROSS"," 1000 AVILA CT, ROSS, Pennsylvania, 15237"
HI-RISES-PRIVATE APTS,ROSS,15327,PERRYTOWN PLAZA- 101 HIGHLAND PINES DR, 101 HIGHLAND PINES DR," 101 HIGHLAND PINES DR, ROSS"," 101 HIGHLAND PINES DR, ROSS, Pennsylvania, 15327"
CHURCH/TEMPLE,ROSS,15237,ST TERESA SCHOPPOL HALL- 1000 AVILA CT, 1000 AVILA CT," 1000 AVILA CT, ROSS"," 1000 AVILA CT, ROSS, Pennsylvania, 15237"
PRIVATE SCHOOL,ROSS,15202,MOUNT ASSISI CONVENT- 934 FOREST AVE., 934 FOREST AVE.," 934 FOREST AVE., ROSS"," 934 FOREST AVE., ROSS, Pennsylvania, 15202"
PRIVATE SCHOOL,ROSS,15202,MOUNT ASSISI CONVENT- 934 FOREST AVE., 934 FOREST AVE.," 934 FOREST AVE., ROSS"," 934 FOREST AVE., ROSS, Pennsylvania, 15202"
VOL FIRE STATIONS,ROSS,15202,FAIRVIEW V.F.D.- 44 EAST FOREST AVE., 44 EAST FOREST AVE.," 44 EAST FOREST AVE., ROSS"," 44 EAST FOREST AVE., ROSS, Pennsylvania, 15202"
VOL FIRE STATIONS,ROSS,15214,SEVILLE VOLUNTEER FIRE DEPT--124 ENGER AVE,-124 ENGER AVE,"-124 ENGER AVE, ROSS","-124 ENGER AVE, ROSS, Pennsylvania, 15214"
MUNICIPAL OWNED BLDG,ROSS,15209,ROSS MUNICIPAL BLDG- 1000 ROSS MUNICIPAL DR., 1000 ROSS MUNICIPAL DR.," 1000 ROSS MUNICIPAL DR., ROSS"," 1000 ROSS MUNICIPAL DR., ROSS, Pennsylvania, 15209"
VOL FIRE STATIONS,ROSS,15229,KEATING VOLUNTEER FIRE CO.- 39 WEST VIEW AVE., 39 WEST VIEW AVE.," 39 WEST VIEW AVE., ROSS"," 39 WEST VIEW AVE., ROSS, Pennsylvania, 15229"
VOL FIRE STATIONS,ROSS,15229,KEATING VOLUNTEER FIRE CO.- 39 WEST VIEW AVE., 39 WEST VIEW AVE.," 39 WEST VIEW AVE., ROSS"," 39 WEST VIEW AVE., ROSS, Pennsylvania, 15229"
VOL FIRE STATIONS,ROSS,15214,SEVILLE VOLUNTEER FIRE DEPT 124 ENGER AVE,#VALUE!,#VALUE!,#VALUE!
CHURCH/TEMPLE,ROSS,15237,CHRIST EPISCOPAL CHURCH--5910 BABCOCK BLVD,-5910 BABCOCK BLVD,"-5910 BABCOCK BLVD, ROSS","-5910 BABCOCK BLVD, ROSS, Pennsylvania, 15237"
ALL. CO. HOUSING AUTH,ROSS,15237,CORBETT COURT- 175 CORBETT COURT, 175 CORBETT COURT," 175 CORBETT COURT, ROSS"," 175 CORBETT COURT, ROSS, Pennsylvania, 15237"
VOL FIRE STATIONS,ROSS,15237,ROSS MUNICIPAL BLDG- 1000 ROSS MUNICIPAL DR., 1000 ROSS MUNICIPAL DR.," 1000 ROSS MUNICIPAL DR., ROSS"," 1000 ROSS MUNICIPAL DR., ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15237,NORTH HILLS CHURCH OF CHRIST- 797 THOMPSON RUN RD., 797 THOMPSON RUN RD.," 797 THOMPSON RUN RD., ROSS"," 797 THOMPSON RUN RD., ROSS, Pennsylvania, 15237"
CHURCH/TEMPLE,ROSS,15237,CHRIST EPISCOPAL CHURCH--5910 BABCOCK BLVD,-5910 BABCOCK BLVD,"-5910 BABCOCK BLVD, ROSS","-5910 BABCOCK BLVD, ROSS, Pennsylvania, 15237"
SCHOOL,ROSS,15237,MCINTYRE ELEMENTARY SCHOOL- 200 MCINTYRE RD., 200 MCINTYRE RD.," 200 MCINTYRE RD., ROSS"," 200 MCINTYRE RD., ROSS, Pennsylvania, 15237"
PUBLIC SCHOOLS,ROSSLYN FARMS,15106,ROSSLYN FARMS COMMUNITY CENTER- 400 KINGS HWY &NE, 400 KINGS HWY &NE," 400 KINGS HWY &NE, ROSSLYN FARMS"," 400 KINGS HWY and NE, ROSSLYN FARMS, Pennsylvania, 15106"
BUSINESS,SCOTT,15106,POLISH AMERICAN CITIZENS CLUB-811 PAUL ST,811 PAUL ST,"811 PAUL ST, SCOTT","811 PAUL ST, SCOTT, Pennsylvania, 15106"
BUSINESS,SCOTT,15106,POLISH AMERICAN CITIZENS CLUB-811 PAUL ST,811 PAUL ST,"811 PAUL ST, SCOTT","811 PAUL ST, SCOTT, Pennsylvania, 15106"
MUNICIPAL OWNED BLDG,SCOTT,15220,SCOTT TWP MUNICIPAL BUILDING- 301 LINDSAY RD., 301 LINDSAY RD.," 301 LINDSAY RD., SCOTT"," 301 LINDSAY RD., SCOTT, Pennsylvania, 15220"
MUNICIPAL OWNED BLDG,SCOTT,15220,SCOTT TWP MUNICIPAL BUILDING- 301 LINDSAY RD., 301 LINDSAY RD.," 301 LINDSAY RD., SCOTT"," 301 LINDSAY RD., SCOTT, Pennsylvania, 15220"
NURSING HOME,SCOTT,15017,VANADIUM WOODS VILLAGE- 50 VANADIUM RD., 50 VANADIUM RD.," 50 VANADIUM RD., SCOTT"," 50 VANADIUM RD., SCOTT, Pennsylvania, 15017"
NURSING HOME,SCOTT,15017,VANADIUM WOODS VILLAGE- 50 VANADIUM RD., 50 VANADIUM RD.," 50 VANADIUM RD., SCOTT"," 50 VANADIUM RD., SCOTT, Pennsylvania, 15017"
CHURCH/TEMPLE,SCOTT,15243,OUR LADY OF GRACE CHURCH KEEFER HALL- 310 KANE BLVD, 310 KANE BLVD," 310 KANE BLVD, SCOTT"," 310 KANE BLVD, SCOTT, Pennsylvania, 15243"
CHURCH/TEMPLE,SCOTT,15243,OUR LADY OF GRACE CHURCH KEEFER HALL- 310 KANE BLVD, 310 KANE BLVD," 310 KANE BLVD, SCOTT"," 310 KANE BLVD, SCOTT, Pennsylvania, 15243"
MUNICIPAL OWNED BLDG,SCOTT,15220,SCOTT TWP. MUNICIPAL BUILDING- 301 LINDSAY RD., 301 LINDSAY RD.," 301 LINDSAY RD., SCOTT"," 301 LINDSAY RD., SCOTT, Pennsylvania, 15220"
CHARTIERS VALLEY JOINT SCH.,SCOTT,15220,CHARTIERS VALLEY INTERMEDIATE SCHOOL- 2030 SWALLOW HILL RD., 2030 SWALLOW HILL RD.," 2030 SWALLOW HILL RD., SCOTT"," 2030 SWALLOW HILL RD., SCOTT, Pennsylvania, 15220"
CHURCH/TEMPLE,SCOTT,15220,COVENANT-COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD.,COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD.,"COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD., SCOTT","COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD., SCOTT, Pennsylvania, 15220"
CHURCH/TEMPLE,SCOTT,15220,COVENANT-COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD.,COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD.,"COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD., SCOTT","COMMUNITY PRESBYTERIAN CHURCH- 1630 GREENTREE RD., SCOTT, Pennsylvania, 15220"
CHURCH/TEMPLE,SCOTT,15220,ST STEPHEN LUTHERAN CHURCH- 55 FORSYTHE RD., 55 FORSYTHE RD.," 55 FORSYTHE RD., SCOTT"," 55 FORSYTHE RD., SCOTT, Pennsylvania, 15220"
CHURCH/TEMPLE,SCOTT,15220,ST STEPHEN LUTHERAN CHURCH- 55 FORSYTHE RD., 55 FORSYTHE RD.," 55 FORSYTHE RD., SCOTT"," 55 FORSYTHE RD., SCOTT, Pennsylvania, 15220"
CHURCH/TEMPLE,SCOTT,15106,OUR LADY OF VICTORY CHURCH- 1000 LINDSAY RD., 1000 LINDSAY RD.," 1000 LINDSAY RD., SCOTT"," 1000 LINDSAY RD., SCOTT, Pennsylvania, 15106"
CHURCH/TEMPLE,SCOTT,15106,OUR LADY OF VICTORY CHURCH- 1000 LINDSAY RD., 1000 LINDSAY RD.," 1000 LINDSAY RD., SCOTT"," 1000 LINDSAY RD., SCOTT, Pennsylvania, 15106"
PRIVATE SCHOOL,SCOTT,15220,S.S. SIMON AND JUDE SCHOOL- 1625 GREENTREE RD., 1625 GREENTREE RD.," 1625 GREENTREE RD., SCOTT"," 1625 GREENTREE RD., SCOTT, Pennsylvania, 15220"
PRIVATE SCHOOL,SCOTT,14220,S.S. SIMON AND JUDE SCHOOL- 1625 GREENTREE RD., 1625 GREENTREE RD.," 1625 GREENTREE RD., SCOTT"," 1625 GREENTREE RD., SCOTT, Pennsylvania, 14220"
CHURCH/TEMPLE,SEWICKLEY,15143,ST. STEPHEN'S CHURCH- 405 FREDERICK AVE., 405 FREDERICK AVE.," 405 FREDERICK AVE., SEWICKLEY"," 405 FREDERICK AVE., SEWICKLEY, Pennsylvania, 15143"
CHURCH/TEMPLE,SEWICKLEY,15143,ST. STEPHEN'S CHURCH- 405 FREDERICK AVE., 405 FREDERICK AVE.," 405 FREDERICK AVE., SEWICKLEY"," 405 FREDERICK AVE., SEWICKLEY, Pennsylvania, 15143"
CHURCH/TEMPLE,SEWICKLEY,15143,ST. STEPHEN'S CHURCH- 405 FREDERICK AVE., 405 FREDERICK AVE.," 405 FREDERICK AVE., SEWICKLEY"," 405 FREDERICK AVE., SEWICKLEY, Pennsylvania, 15143"
CHURCH/TEMPLE,SEWICKLEY,15143,ST. STEPHEN'S CHURCH- 405 FREDERICK AVE., 405 FREDERICK AVE.," 405 FREDERICK AVE., SEWICKLEY"," 405 FREDERICK AVE., SEWICKLEY, Pennsylvania, 15143"
MUNICIPAL OWNED BLDG,SEWICKLEY HTS,15143,FERN HOLLOW NATURE CENTER- 1901 GLEN MITCHELL RD., 1901 GLEN MITCHELL RD.," 1901 GLEN MITCHELL RD., SEWICKLEY HTS"," 1901 GLEN MITCHELL RD., SEWICKLEY HTS, Pennsylvania, 15143"
PUBLIC REC CENTERS,SEWICKLEY HILLS,15143,SEWICKLEY HILLS MUNICIPAL BUILDING- 349 MAGEE RD., 349 MAGEE RD.," 349 MAGEE RD., SEWICKLEY HILLS"," 349 MAGEE RD., SEWICKLEY HILLS, Pennsylvania, 15143"
VOL FIRE STATIONS,SHALER,15223,CHERRY CITY V.F.C.- 309 DAVIS AVE., 309 DAVIS AVE.," 309 DAVIS AVE., SHALER"," 309 DAVIS AVE., SHALER, Pennsylvania, 15223"
VOL FIRE STATIONS,SHALER,15223,CHERRY CITY V.F.C.- 309 DAVIS AVE., 309 DAVIS AVE.," 309 DAVIS AVE., SHALER"," 309 DAVIS AVE., SHALER, Pennsylvania, 15223"
HI-RISES-PRIVATE APTS,SHALER,15223,SHALERCREST HOUSING ASSOC.- 272 MT. VERNON DRIVE, 272 MT. VERNON DRIVE," 272 MT. VERNON DRIVE, SHALER"," 272 MT. VERNON DRIVE, SHALER, Pennsylvania, 15223"
PRIVATE SCHOOL,SHALER,15209,MT. ALVERNIA SCOTUS HALL- 146 HAWTHORNE RD., 146 HAWTHORNE RD.," 146 HAWTHORNE RD., SHALER"," 146 HAWTHORNE RD., SHALER, Pennsylvania, 15209"
VOL FIRE STATIONS,SHALER,15223,CHERRY CITY V.F.C.- 309 DAVIS AVE., 309 DAVIS AVE.," 309 DAVIS AVE., SHALER"," 309 DAVIS AVE., SHALER, Pennsylvania, 15223"
VOL FIRE STATIONS,SHALER,15209,BAUERSTOWN V.F.D.- 15 WIBLE RUN RD., 15 WIBLE RUN RD.," 15 WIBLE RUN RD., SHALER"," 15 WIBLE RUN RD., SHALER, Pennsylvania, 15209"
PUBLIC SCHOOLS,SHALER,15116,SHALER AREA HIGH SCHOOL- 381 WIBLE RUN RD., 381 WIBLE RUN RD.," 381 WIBLE RUN RD., SHALER"," 381 WIBLE RUN RD., SHALER, Pennsylvania, 15116"
VOL FIRE STATIONS,SHALER,15209,BAUERSTOWN V.F.D.- 15 WIBLE RUN RD., 15 WIBLE RUN RD.," 15 WIBLE RUN RD., SHALER"," 15 WIBLE RUN RD., SHALER, Pennsylvania, 15209"
PUBLIC SCHOOLS,SHALER,15209,MARZOLF ELEM SCHOOL-FACULTY RM.- 101 MARZOLF RD,FACULTY RM.- 101 MARZOLF RD,"FACULTY RM.- 101 MARZOLF RD, SHALER","FACULTY RM.- 101 MARZOLF RD, SHALER, Pennsylvania, 15209"
VOL FIRE STATIONS,SHALER,15116,UNDERCLIFF V. F. C.- 700 MT ROYAL BLVD, 700 MT ROYAL BLVD," 700 MT ROYAL BLVD, SHALER"," 700 MT ROYAL BLVD, SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15101,1500 BURCHFIELD RD-BURCHFIELD SCH-UPPER LEVEL GYM,BURCHFIELD SCH-UPPER LEVEL GYM,"BURCHFIELD SCH-UPPER LEVEL GYM, SHALER","BURCHFIELD SCH-UPPER LEVEL GYM, SHALER, Pennsylvania, 15101"
PUBLIC SCHOOLS,SHALER,15101,1500 BURCHFIELD RD-BURCHFIELD SCH-UPPER LEVEL GYM,BURCHFIELD SCH-UPPER LEVEL GYM,"BURCHFIELD SCH-UPPER LEVEL GYM, SHALER","BURCHFIELD SCH-UPPER LEVEL GYM, SHALER, Pennsylvania, 15101"
PUBLIC SCHOOLS,SHALER,15101,1500 BURCHFIELD RD-BURCHFIELD SCH-UPPER LEVEL GYM,BURCHFIELD SCH-UPPER LEVEL GYM,"BURCHFIELD SCH-UPPER LEVEL GYM, SHALER","BURCHFIELD SCH-UPPER LEVEL GYM, SHALER, Pennsylvania, 15101"
PUBLIC SCHOOLS,SHALER,15101,1500 BURCHFIELD RD-BURCHFIELD SCH-UPPER LEVEL GYM,BURCHFIELD SCH-UPPER LEVEL GYM,"BURCHFIELD SCH-UPPER LEVEL GYM, SHALER","BURCHFIELD SCH-UPPER LEVEL GYM, SHALER, Pennsylvania, 15101"
PUBLIC SCHOOLS,SHALER,15101,1500 BURCHFIELD RD-BURCHFIELD SCH-UPPER LEVEL GYM,BURCHFIELD SCH-UPPER LEVEL GYM,"BURCHFIELD SCH-UPPER LEVEL GYM, SHALER","BURCHFIELD SCH-UPPER LEVEL GYM, SHALER, Pennsylvania, 15101"
CHURCH/TEMPLE,SHALER,15116,GLENSHAW VALLEY PRESBYTERIAN CHURCH- 1520 BUTLER PLANK RD., 1520 BUTLER PLANK RD.," 1520 BUTLER PLANK RD., SHALER"," 1520 BUTLER PLANK RD., SHALER, Pennsylvania, 15116"
CHURCH/TEMPLE,SHALER,15116,GLENSHAW PRESBYTERIAN CHURCH- 300 GLENN AVE., 300 GLENN AVE.," 300 GLENN AVE., SHALER"," 300 GLENN AVE., SHALER, Pennsylvania, 15116"
VOL FIRE STATIONS,SHALER,15116,ELFINWILD VOLUNTEER FIRE CO.- 2807 MT. ROYAL BLVD., 2807 MT. ROYAL BLVD.," 2807 MT. ROYAL BLVD., SHALER"," 2807 MT. ROYAL BLVD., SHALER, Pennsylvania, 15116"
VOL FIRE STATIONS,SHALER,15116,ELFINWILD VOLUNTEER FIRE CO.- 2807 MT. ROYAL BLVD., 2807 MT. ROYAL BLVD.," 2807 MT. ROYAL BLVD., SHALER"," 2807 MT. ROYAL BLVD., SHALER, Pennsylvania, 15116"
CHURCH/TEMPLE,SHALER,15116,GLENSHAW PRESBYTERIAN CHURCH- 300 GLENN AVE., 300 GLENN AVE.," 300 GLENN AVE., SHALER"," 300 GLENN AVE., SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15116,JEFFERY ELEMENTARY SCHOOL- 201 WETZEL RD , 201 WETZEL RD ," 201 WETZEL RD , SHALER"," 201 WETZEL RD , SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15116,SHALER JR. HIGH SCHOOL- 700 SCOTT AVE., 700 SCOTT AVE.," 700 SCOTT AVE., SHALER"," 700 SCOTT AVE., SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15116,JEFFERY ELEMENTARY SCHOOL- 201 WETZEL RD , 201 WETZEL RD ," 201 WETZEL RD , SHALER"," 201 WETZEL RD , SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15116,SHALER AREA HIGH SCHOOL- 381 WIBLE RUN RD., 381 WIBLE RUN RD.," 381 WIBLE RUN RD., SHALER"," 381 WIBLE RUN RD., SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15116,SHALER ELEM SCHOOL REAR ENT # 9 700 SCOTT AVE,#VALUE!,#VALUE!,#VALUE!
PUBLIC SCHOOLS,SHALER,15116,SHALER  SCHOOL- 700 SCOTT AVE., 700 SCOTT AVE.," 700 SCOTT AVE., SHALER"," 700 SCOTT AVE., SHALER, Pennsylvania, 15116"
VOL FIRE STATIONS,SHALER,15116,ELFINWILD VOLUNTEER FIRE CO.- 2807 MT. ROYAL BLVD. , 2807 MT. ROYAL BLVD. ," 2807 MT. ROYAL BLVD. , SHALER"," 2807 MT. ROYAL BLVD. , SHALER, Pennsylvania, 15116"
PUBLIC SCHOOLS,SHALER,15116,SHALER ELEM SCHOOL REAR ENT # 9 700 SCOTT AVE,#VALUE!,#VALUE!,#VALUE!
PUBLIC SCHOOLS,SHALER,15101,BURCHFIELD SCH-UPPER LEVEL GYM- 1500 BURCHFIELD RD,UPPER LEVEL GYM- 1500 BURCHFIELD RD,"UPPER LEVEL GYM- 1500 BURCHFIELD RD, SHALER","UPPER LEVEL GYM- 1500 BURCHFIELD RD, SHALER, Pennsylvania, 15101"
PUBLIC SCHOOLS,SHALER,15116,SHALER ELEM SCHOOL REAR ENT # 9 700 SCOTT AVE,#VALUE!,#VALUE!,#VALUE!
VOL FIRE STATIONS,SHALER,15215,SHARPS HILL V.F.D.- 503 BERNER ST., 503 BERNER ST.," 503 BERNER ST., SHALER"," 503 BERNER ST., SHALER, Pennsylvania, 15215"
VOL FIRE STATIONS,SHALER,15116,UNDERCLIFF V. F. C.- 700 MT ROYAL BLVD, 700 MT ROYAL BLVD," 700 MT ROYAL BLVD, SHALER"," 700 MT ROYAL BLVD, SHALER, Pennsylvania, 15116"
VOL FIRE STATIONS,SHALER,15223,SHALER VILLA VOLUNTEER FIRE CO.- 958 SAXONBURG BLVD., 958 SAXONBURG BLVD.," 958 SAXONBURG BLVD., SHALER"," 958 SAXONBURG BLVD., SHALER, Pennsylvania, 15223"
